;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;Sport;Who is the former partner of the figure skater which was the former partner of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/formerPartner> ?x . ?x <http://dbpedia.org/ontology/formerPartner> ?uri . ?x a <http://dbpedia.org/ontology/FigureSkater> };select distinct ?a where { ?a <http://dbpedia.org/ontology/formerPartner> ?x . ?x <http://dbpedia.org/ontology/formerPartner> ?uri . ?x a <http://dbpedia.org/ontology/FigureSkater> };74c48daf3f3e40b8b2a9075494203130;;;;;;;;;;;;;;;
;Sport;Who is the former partner of the pupil of <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/coach> <A> . ?x <http://dbpedia.org/ontology/formerPartner> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/coach> ?a . ?x <http://dbpedia.org/ontology/formerPartner> ?uri };1422749d46f24fb7bf292b5370dcae01;;;;;;;;;;;;;;;
;;Who is the founder of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/founder> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/founder> ?uri };13a6659956ff48d8ad29034fecc6357d;;;;;;;;;;;;;;;
;;Who is the founder of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/founder> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/founder> ?uri };df77a0a57a254a339759da5845ded0cf;;;;;;;;;;;;;;;
;;Who is the founder of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/founder> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/founder> ?uri };bef4d21a7f66422c8f6b906ff1dfc6ca;;;;;;;;;;;;;;;
;;Who is the founder of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/founder> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/founder> ?uri };a813050ed3c340158c9e4c5fbb61fb8f;;;;;;;;;;;;;;;
;;Who is the founder of the trade union which affiliates <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/affiliation> ?x . ?x <http://dbpedia.org/property/founded> ?uri . ?x a <http://dbpedia.org/ontology/TradeUnion> };select distinct ?a where { ?a <http://dbpedia.org/ontology/affiliation> ?x . ?x <http://dbpedia.org/property/founded> ?uri . ?x a <http://dbpedia.org/ontology/TradeUnion> };2fe30687c5644f9096c50927e10ec2fe;;;;;;;;;;;;;;;
;;Who is the founder of the trade union with whom <A> is affiliated?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/affiliation> ?x . ?x <http://dbpedia.org/property/founded> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/affiliation> ?x . ?x <http://dbpedia.org/property/founded> ?uri };3691b72c47ef41ecb0642a31737f3b86;;;;;;;;;;;;;;;
;;Who is the governor of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/governor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/governor> ?uri };9f03bf078f8e43e68ca2db1f89a182b7;;;;;;;;;;;;;;;
;Sport;Who is the head coach of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/manager> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/manager> ?uri };71f8fa4b19a547668255c9310216a8f3;;;;;;;;;;;;;;;
;Sport;Who is the head coach of the teams in <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/club> <A> . ?x <http://dbpedia.org/ontology/manager> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/club> ?a . ?x <http://dbpedia.org/ontology/manager> ?uri };37ebf5a678ed42c3b38fc81a00ff30ff;;;;;;;;;;;;;;;
;Sport;Who is the headcoach of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/headcoach> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/headcoach> ?uri };f08fb8d368d348e482a1d9c778dd17d5;;;;;;;;;;;;;;;
;Sport;Who is the headcoach of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/headcoach> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/headcoach> ?uri };0223d728dead415fa225cd560eb8ad33;;;;;;;;;;;;;;;
;Sport;Who is the headcoach of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/headcoach> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/headcoach> ?uri };8324de1b412b4b4a827a1a102c028585;;;;;;;;;;;;;;;
;General;who is the husband of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/partner> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/partner> ?uri };6239f50c40b045fb92f0ad0b63792e7b;;;;;;;;;;;;;;;
X;;Who is the incumbent of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/incumbent> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/incumbent> ?uri };240ab1b4acb848ce816bdc5a4660b11b;Who is the incumbent of <A> 2000 ?;;;;;;;;;;;;;;
;;Who is the label of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/label> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/label> ?uri };0d3ce4f95ac74189a54701a42dda617d;;;;;;;;;;;;;;;
;;Who is the leader of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/leader> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/leader> ?uri };4fa56e45fedf4969b8ccfc846a78dc9a;;;;;;;;;;;;;;;
;;Who is the leader of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/leaderName> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/leaderName> ?uri };3c5ec517b1a14c2bbccc65ce6c1db5c7;;;;;;;;;;;;;;;
;;Who is the leader of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/leaderName> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/leaderName> ?uri };8dc28cce9d654bfe8fbf70dc2b8673e9;;;;;;;;;;;;;;;
;;Who is the leader of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/leader> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/leader> ?uri };19bac1217f0341eaa5cdfa082347f6b0;;;;;;;;;;;;;;;
;;Who is the leader of the <A> and <B>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/leader> ?uri . <B> <http://dbpedia.org/ontology/leader> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/leader> ?uri . ?b <http://dbpedia.org/ontology/leader> ?uri };df34b20d025a49648aa1d1d8d09d8533;;;;;;;;;;;;;;;
;;Who is the leader of the town where the <A> originates?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/origin> ?x . ?x <http://dbpedia.org/ontology/leaderName> ?uri . ?x a <http://dbpedia.org/ontology/Town> };select distinct ?a where { ?a <http://dbpedia.org/ontology/origin> ?x . ?x <http://dbpedia.org/ontology/leaderName> ?uri . ?x a <http://dbpedia.org/ontology/Town> };fb9fef1a345e41a8a89924438d199ab6;;;;;;;;;;;;;;;
;;Who is the licensee of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/licensee> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/licensee> ?uri };106ea7f1234e4ae29451ff12ce6e4684;;;;;;;;;;;;;;;
;;Who is the maker of the engine of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/engine> ?x . ?x <http://dbpedia.org/ontology/manufacturer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/engine> ?x . ?x <http://dbpedia.org/ontology/manufacturer> ?uri };7d5159ea5c5a452086175f68079c8e22;;;;;;;;;;;;;;;
;Sport;Who is the manager of the club whose homeground is the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/ground> <A> . ?uri <http://dbpedia.org/ontology/managerClub> ?x . ?uri a <http://dbpedia.org/ontology/SportsManager> };select distinct ?a where { ?x <http://dbpedia.org/property/ground> ?a . ?uri <http://dbpedia.org/ontology/managerClub> ?x . ?uri a <http://dbpedia.org/ontology/SportsManager> };9bc2338edfc24fc7a0d8d7cfe88d0ccd;;;;;;;;;;;;;;;
;;Who is the manufacturer of engine of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/engine> ?x . ?x <http://dbpedia.org/ontology/manufacturer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/engine> ?x . ?x <http://dbpedia.org/ontology/manufacturer> ?uri };611a7b738e4741f4af9e5b803c5e3183;;;;;;;;;;;;;;;
;;Who is the mayor of the city under which is the constituency of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/constituency> ?x . ?x <http://dbpedia.org/ontology/leaderName> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/constituency> ?x . ?x <http://dbpedia.org/ontology/leaderName> ?uri };9a5eae5ceec54a8e97a3c8d7ecdb1149;;;;;;;;;;;;;;;
;;Who is the meaning of <A>  ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/meaning> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/meaning> ?uri };ee7db84a309448d5abf22c529f3c8d35;;;;;;;;;;;;;;;
;Sport;Who is the meaning of the name <B> which was also one of the subject of play <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/meaning> ?uri . <A> <http://dbpedia.org/property/subject> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/meaning> ?uri . ?a <http://dbpedia.org/property/subject> ?uri };c0ed2a5b62a04aa796586761a7fcc4fa;;;;;;;;;;;;;;;
;;Who is the mfr. of the engine used in <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/engine> ?x . ?x <http://dbpedia.org/ontology/manufacturer> ?uri . ?x a <http://dbpedia.org/ontology/Engine> };select distinct ?a where { ?a <http://dbpedia.org/property/engine> ?x . ?x <http://dbpedia.org/ontology/manufacturer> ?uri . ?x a <http://dbpedia.org/ontology/Engine> };a3226ab632ca4954b180bdb3473e0aa4;;;;;;;;;;;;;;;
;;Who is the military general buried in <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/placeofburial> <A> . ?uri a <http://dbpedia.org/ontology/MilitaryPerson> };select distinct ?a where { ?uri <http://dbpedia.org/property/placeofburial> ?a . ?uri a <http://dbpedia.org/ontology/MilitaryPerson> };c453adcc2e0940139832c62258fcdaa2;;;;;;;;;;;;;;;
;;Who is the monarch of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/monarch> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/monarch> ?uri };b565b9a72721499f8857765c8003b017;;;;;;;;;;;;;;;
;Music;Who is the music composer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/musicComposer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/musicComposer> ?uri };23da6d5becd34480952011dd96fec09f;;;;;;;;;;;;;;;
;Music;Who is the musical artist worked for labels <B> and <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/label> <B> . ?uri <http://dbpedia.org/property/label> <A> . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/label> ?b . ?uri <http://dbpedia.org/property/label> ?a . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };25b560314df748389e244a17213dbb52;;;;;;;;;;;;;;;
;Music;Who is the musician of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/musicalArtist> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/musicalArtist> ?uri };146cb6a075864ab787660a7fa34af21a;;;;;;;;;;;;;;;
;;Who is the narrator of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/narrator> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/narrator> ?uri };ef9ffe8b32f046acbf228229922d57c8;;;;;;;;;;;;;;;
X;;Who is the narrator of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/narrated> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/narrated> ?uri };c43336ea3f5f4a078eae1b1cdbb23ae0;Who is the narrator of <A> , 1982 TV series ?;;;;;;;;;;;;;;
;;Who is the nominee of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/nominee> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/nominee> ?uri };f3713cd348ac4ddf884634f3a7672b0a;;;;;;;;;;;;;;;
;;Who is the office holder for constituencies  <A> and <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/constituency> <A> . ?uri <http://dbpedia.org/property/constituency> <B> . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/constituency> ?a . ?uri <http://dbpedia.org/property/constituency> ?b . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };a6ed413a6d5445999356286aac0836d9;;;;;;;;;;;;;;;
;;Who is the office holder whose deputy was <A> and predecessor was <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/deputy> <A> . ?uri <http://dbpedia.org/ontology/predecessor> <B> . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/deputy> ?a . ?uri <http://dbpedia.org/ontology/predecessor> ?b . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };81fc6048cd674197b4c6918b39592d57;;;;;;;;;;;;;;;
;;Who is the office holder whose resting place is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/restingPlace> <A> . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/restingPlace> ?a . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };2516a91470b8418cb05fc66aaf9f2d9e;;;;;;;;;;;;;;;
;;Who is the office holder with deputies as <B> and <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/deputy> <B> . ?uri <http://dbpedia.org/property/deputy> <A> . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/deputy> ?b . ?uri <http://dbpedia.org/property/deputy> ?a . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };da9c6ff456104d10945b6af22f54ca27;;;;;;;;;;;;;;;
Q;General;Who is the one whose highschool is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/highschool> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/highschool> ?a };24e52abfafbb43d491744511cbfbfb38;Who is the american football player whose highschool is <A>?;;;;;;;;;;;;;;
;;Who is the operator of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/operator> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/operator> ?uri };ff89e1f2ebea4884b42c7497cbf61372;;;;;;;;;;;;;;;
;;Who is the operator of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/operator> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/operator> ?uri };df298794f4bc4b8bad182adc7794db3a;;;;;;;;;;;;;;;
;;Who is the opponent of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/opponent> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/opponent> ?uri };8d4da6021bd04b108db6150288326476;;;;;;;;;;;;;;;
;;Who is the owner of  <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/owner> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/owner> ?uri };1f6027121a154845a301780b46413756;;;;;;;;;;;;;;;
;;Who is the owner of  <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/owner> ?uri . <B> <http://dbpedia.org/ontology/owner> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/owner> ?uri . ?b <http://dbpedia.org/ontology/owner> ?uri };80c973d818ed45dfbaaaf86dd592f053;;;;;;;;;;;;;;;
;;Who is the owner of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/owner> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/owner> ?uri };a100cb0681104c81aeaeb99a2e615d66;;;;;;;;;;;;;;;
;;Who is the owner of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/owners> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/owners> ?uri };3180262923484726bbeebc7b398144d1;;;;;;;;;;;;;;;
;;Who is the owner of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/owner> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/owner> ?uri };dac617c2755144f597bf2de202f99777;;;;;;;;;;;;;;;
;;Who is the owner of <B> which is also the builder of <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/owner> ?uri . <A> <http://dbpedia.org/ontology/manufacturer> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/owner> ?uri . ?a <http://dbpedia.org/ontology/manufacturer> ?uri };fe9e7f00884542aebb30f18c996e0f9b;;;;;;;;;;;;;;;
;;Who is the owner of the bank where <A> works ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/occupation> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/Bank> };select distinct ?a where { ?a <http://dbpedia.org/ontology/occupation> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/Bank> };00b85c55b2d649c397d73d0e4d2895b8;;;;;;;;;;;;;;;
;;Who is the owner of the bank which owns <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/owner> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/Bank> };select distinct ?a where { ?a <http://dbpedia.org/ontology/owner> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/Bank> };9776c037c6cd401c9c3234960d164750;;;;;;;;;;;;;;;
;Sport;Who is the owner of the FC which owns the <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/owner> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/SoccerClub> };select distinct ?a where { ?a <http://dbpedia.org/property/owner> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/SoccerClub> };d348e34b15b34282bcca4892641b5f9d;;;;;;;;;;;;;;;
;;Who is the owner of the website which has the label <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/label> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/Website> };select distinct ?a where { ?a <http://dbpedia.org/property/label> ?x . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/Website> };5f0366cd125f4976a4b7362c81b098cd;;;;;;;;;;;;;;;
;General;Who is the parent of <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/children> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/children> ?a };7f7c3328eb5b44fd9119c85b39285fbf;;;;;;;;;;;;;;;
;General;Who is the partner of <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/partner> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/partner> ?a };51484b4dd82e47e9838bd6ae4d77c67a;;;;;;;;;;;;;;;
;;Who is the performer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/artist> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/artist> ?uri };89689724b652439cbc83fd0be32e637c;;;;;;;;;;;;;;;
;Music;"Who is the performer of album which has the song ""<A>"" ?";SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/album> ?x . ?x <http://dbpedia.org/ontology/artist> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/album> ?x . ?x <http://dbpedia.org/ontology/artist> ?uri };60347895278a411187b6aaafce98462e;;;;;;;;;;;;;;;
